Smiles,He,H2,O2,N2,CO2,CH4
*C(F)(F)C(*)(F)Cl,0.833784375,-0.026872146,-1.260285673,-2.301029996,-0.906578315,-2.155484362
*C(F)(F)C(*)(F)Cl,2.042753713,2.219844836,1.4026988,0.934498451,1.763427994,1.019787463
*C(F)(F)C(*)(F)Cl,1.990494362,2.226599625,1.758911892,1.255272505,2.161368002,1.539334849
*C(F)(F)C(*)(F)Cl,0.81206532,0.894469323,0.042813074,-0.455931956,0.577987688,-0.302078551
*C(F)(F)C(*)(F)Cl,0.232868286,0.087077477,-0.958607315,-1.795880017,-0.574537977,-1.858154712
*C(F)(F)C(*)(F)Cl,0.153281145,-0.046028095,-1.037299268,-1.7000571,-0.677491272,-1.806231132
*C(F)(F)C(*)(F)Cl,0.008371146,-0.314525887,-1.60199051,-2.043639446,-1.319845858,-2.009619314
*C(F)(F)C(*)(F)Cl,-0.274088368,-0.417563448,-1.734685557,-2.60291971,-1.27572413,-2.013268412
*CCC=C(*)Cl,1.016690463,1.210222336,0.602059991,0.079181246,1.411619706,0.260164376
*CCC=C(*)Cl,0.729974286,0.86998286,0.025375806,-0.559625572,0.742725131,-0.305473741
*CCC=C(*)Cl,1.297641201,1.431021546,0.477121255,-0.096910013,1.230448921,-0.099786755
*CCC=C(*)Cl,0.528399617,0.851258349,0.40654018,-0.096910013,1.079181246,0.389950259
*CCC=C(*)Cl,1.260274613,1.574031268,1.123507782,0.669414761,1.871234856,1.110412483
*CC/C=C(/*)C,2.495763365,2.660765652,2.001141379,1.951056182,2.859549097,2.059557842
*CC/C=C(/*)C,2.441405702,2.591942857,1.90593783,1.897337658,2.802233446,2.033861942
*CC/C=C(/*)C,2.376864983,2.550550172,1.830993637,1.866598216,2.721246399,1.955591419
*CC/C=C(/*)C,2.006100438,2.197850307,1.367355921,0.974511693,2.184691431,1.222850926
*CC/C=C(/*)C,2.029036335,2.22214598,1.380211242,0.908485019,2.045943026,1.135081549
*CC/C=C(/*)C,1.489111724,1.672097858,1.162788621,0.692846919,2.012837225,1.049301198
*CC/C=C(/*)C,1.687670583,1.800521482,1.36960641,0.976518904,2.187372269,1.480914244
*CC/C=C(/*)C,1.493934754,2.077272256,1.791284266,1.406988138,2.463578681,1.925366382
*CO*,0.872921227,0.699171908,-0.381750146,-1.256663581,0.255272505,-1.3788678
*CO*,0.231773654,0.040790449,-1.04830468,-1.851210016,-0.554035299,-1.914465568
*CC(C)O*,0.635765216,0.580924976,-0.881815403,-1.829148045,-1.091514981,-2.022758062
*CC(C)O*,0.168229389,0.985875357,-0.42799886,-0.942462135,-0.060480747,-0.767121318
*CC(C)O*,0.789083199,1.397940009,0.009635766,-0.805316921,0.591064607,-0.963286368
*CC(C)O*,1.317955532,1.583198774,0.423924126,-0.223660495,1.008600172,-0.093566109
*CC(C)O*,1.613239758,1.769377326,0.52424495,-0.257581934,1.225309282,-0.103519462
*CC(C)O*,0.777119079,0.706717782,-0.656720467,-1.478263973,-0.37675071,-1.541407657
*CC(C)O*,0.137713025,1.045322979,-0.418633356,-0.969485354,-0.008773924,-0.827403156
*CC(C)O*,-0.000961881,1.217483944,-0.349832367,-0.960225649,0.195899652,-0.815874236
*CC(CCl)O*,0.740362689,0.949390007,0.021189299,-0.356547324,0.722520945,-0.176887911
*Oc1ccc(*)cc1,2.041392685,2.153183224,1.382252304,0.525044807,1.716837723,0.530199698
*Oc1ccc(*)cc1,1.681226203,1.833440022,1.198657087,0.580924976,1.87909588,0.859348775
